fecha,P_mm,ETP_mm,T_min_C,T_max_C,Q_m3s,Q_mm
2001-01-01,6.919,10.6,23.14,30.9,16.91,0.7711
2001-01-02,0.0,11.254,21.78,30.62,16.27,0.7419
2001-01-03,0.0,12.447,20.37,30.99,15.76,0.7186
2001-01-04,0.0,13.837,19.38,31.97,14.9,0.6794
2001-01-05,0.0,13.19,20.32,31.81,14.17,0.6461
2001-01-06,0.0,13.095,20.75,31.98,13.66,0.6229
2001-01-07,0.0,11.681,21.82,31.07,13.28,0.6055
2001-01-08,0.0,12.142,22.11,31.79,12.8,0.5837
2001-01-09,0.139,12.539,22.0,32.15,12.52,0.5709
2001-01-10,0.0,13.655,21.25,32.91,12.2,0.5563
2001-01-11,0.0,12.741,22.07,32.4,12.08,0.5508
2001-01-12,0.0,13.239,21.66,32.67,11.56,0.5271
2001-01-13,0.066,12.487,21.76,31.85,12.01,0.5476
2001-01-14,0.0,13.632,21.16,32.74,11.04,0.5034
2001-01-15,0.0,13.025,22.45,32.92,11.04,0.5034
2001-01-16,0.0,11.076,23.03,31.14,10.88,0.4961
2001-01-17,0.066,11.366,23.16,31.53,10.8,0.4925
2001-01-18,3.167,10.804,23.79,31.38,10.56,0.4815
2001-01-19,0.0,11.457,23.98,32.21,10.24,0.4669
2001-01-20,0.0,11.942,23.78,32.57,9.84,0.4487
2001-01-21,0.0,12.693,23.12,32.9,9.76,0.445
2001-01-22,0.0,12.82,22.45,32.53,9.68,0.4414
2001-01-23,0.0,13.403,22.52,33.21,9.6,0.4377
2001-01-24,0.0,13.631,22.4,33.35,9.52,0.4341
2001-01-25,0.0,12.329,23.15,32.42,9.36,0.4268
2001-01-26,0.0,12.345,23.02,32.32,9.2,0.4195
2001-01-27,0.0,13.245,22.54,32.94,9.04,0.4122
2001-01-28,0.0,14.367,22.73,34.3,8.88,0.4049
2001-01-29,0.0,13.203,24.0,33.9,8.72,0.3976
2001-01-30,0.861,13.606,22.22,33.05,8.64,0.394
2001-01-31,0.0,12.817,23.32,32.94,8.4,0.383
2001-02-01,0.0,12.939,23.73,33.34,8.32,0.3794
2001-02-02,0.0,12.497,24.23,33.21,8.32,0.3794
2001-02-03,0.0,14.268,22.62,33.94,8.16,0.3721
2001-02-04,0.0,13.038,23.07,32.89,8.0,0.3648
2001-02-05,0.0,8.955,25.52,30.59,7.98,0.3639
2001-02-06,2.71,11.995,23.84,32.29,7.96,0.363
2001-02-07,3.488,10.184,23.96,30.5,7.96,0.363
2001-02-08,0.261,10.805,23.84,31.02,7.96,0.363
2001-02-09,0.861,12.259,23.73,32.42,7.96,0.363
2001-02-10,0.0,12.156,25.07,33.3,7.96,0.363
2001-02-11,0.0,13.596,24.36,34.25,7.96,0.363
2001-02-12,0.0,12.71,24.86,33.67,7.96,0.363
2001-02-13,0.0,12.932,25.27,34.18,7.92,0.3611
2001-02-14,0.0,12.627,24.78,33.47,7.9,0.3602
2001-02-15,0.0,14.124,23.22,33.89,7.88,0.3593
2001-02-16,0.0,14.496,24.82,35.4,7.84,0.3575
2001-02-17,0.0,13.353,25.63,34.78,7.8,0.3557
2001-02-18,0.0,13.204,26.01,34.9,7.76,0.3538
2001-02-19,0.0,13.772,25.66,35.19,7.76,0.3538
2001-02-20,0.0,13.359,25.8,34.85,7.72,0.352
2001-02-21,0.0,11.891,25.46,33.11,7.64,0.3484
2001-02-22,0.0,12.949,25.09,33.87,7.6,0.3465
2001-02-23,0.0,13.658,24.64,34.24,7.6,0.3465
2001-02-24,0.0,13.632,25.03,34.48,7.58,0.3456
2001-02-25,0.0,11.629,26.27,33.42,7.56,0.3447
2001-02-26,0.0,11.601,25.66,32.9,7.54,0.3438
2001-02-27,0.0,11.939,25.87,33.37,7.5,0.342
2001-02-28,0.0,12.137,26.39,33.95,7.48,0.3411
2001-03-01,0.0,12.112,27.46,34.75,7.48,0.3411
2001-03-02,0.0,13.425,26.3,35.11,7.46,0.3402
2001-03-03,0.0,15.058,26.57,36.91,7.44,0.3393
2001-03-04,11.792,12.325,25.62,33.49,7.44,0.3393
2001-03-05,6.672,12.746,23.94,32.62,7.44,0.3393
2001-03-06,9.148,14.615,24.13,34.66,7.482,0.3412
2001-03-07,6.692,11.178,25.75,32.45,7.601,0.3466
2001-03-08,0.59,13.358,24.0,33.25,7.68,0.3502
2001-03-09,3.481,12.012,24.9,32.57,7.68,0.3502
2001-03-10,0.16,12.596,24.32,32.7,7.72,0.352
2001-03-11,0.0,14.202,24.55,34.47,7.7,0.3511
2001-03-12,0.0,13.87,23.36,33.26,7.64,0.3484
2001-03-13,0.0,15.608,23.44,35.1,7.58,0.3456
2001-03-14,0.0,15.975,24.09,35.93,7.5,0.342
2001-03-15,0.0,14.393,25.21,35.1,7.46,0.3402
2001-03-16,0.0,14.366,24.52,34.57,7.44,0.3393
2001-03-17,0.0,14.226,23.58,33.74,7.44,0.3393
2001-03-18,0.0,11.797,25.41,32.69,7.42,0.3383
2001-03-19,7.927,11.394,25.04,32.01,7.425,0.3386
2001-03-20,26.388,10.919,24.51,31.14,7.46,0.3402
2001-03-21,0.528,9.901,24.43,30.11,7.713,0.3517
2001-03-22,11.401,11.567,23.71,31.14,10.2,0.4651
2001-03-23,8.2,11.425,24.14,31.32,14.31,0.6525
2001-03-24,19.63,9.69,24.59,30.04,16.21,0.7392
2001-03-25,0.74,13.276,24.18,33.19,17.83,0.813
2001-03-26,0.297,12.805,24.34,32.84,17.74,0.8089
2001-03-27,0.0,12.514,24.07,32.34,15.6,0.7113
2001-03-28,3.62,11.258,24.72,31.61,13.56,0.6183
2001-03-29,9.277,10.538,23.68,30.11,12.25,0.5586
2001-03-30,8.128,11.896,24.52,32.08,11.11,0.5066
2001-03-31,2.047,12.353,23.69,31.9,11.41,0.5203
2001-04-01,0.098,11.853,23.91,31.58,12.88,0.5873
2001-04-02,0.0,12.064,24.51,32.25,13.12,0.5983
2001-04-03,0.0,12.408,24.82,32.82,12.75,0.5814
2001-04-04,0.381,10.937,24.13,30.86,11.35,0.5175
2001-04-05,8.38,9.564,23.94,29.42,10.27,0.4683
2001-04-06,0.0,9.938,24.76,30.43,10.02,0.4569
2001-04-07,11.361,8.199,24.49,28.66,10.11,0.461
2001-04-08,0.0,12.247,23.78,31.91,9.68,0.4414
2001-04-09,17.168,10.412,24.35,30.57,12.29,0.5604
